coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,rain_1h,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,wind_gust,weather_1_id,weather_1_main,weather_1_description,weather_1_icon,message
-4.0197,5.3094,501.0,Rain,moderate rain,10d,stations,299.13,299.13,299.13,299.13,1014.0,89.0,1014.0,1013.0,10000.0,2.06,240.0,2.44,75.0,1727335125.0,1.0,1162.0,CI,1727330668.0,1727374205.0,0.0,2293538.0,Abidjan,200,,,,,,
54.3667,24.4667,802.0,Clouds,scattered clouds,03d,stations,307.56,314.56,307.16,307.56,1003.0,71.0,1003.0,1003.0,8000.0,2.06,200.0,,47.0,1727335125.0,2.0,2032466.0,AE,1727316756.0,1727360099.0,14400.0,292968.0,Abu Dhabi,200,,,,,,
7.4898,9.0574,801.0,Clouds,few clouds,02d,stations,298.23,298.93,298.23,298.23,1014.0,82.0,1014.0,960.0,10000.0,0.74,116.0,,18.0,1727335125.0,1.0,1173.0,NG,1727327927.0,1727371423.0,3600.0,2352778.0,Abuja,200,1.14,,,,,
-0.1969,5.556,804.0,Clouds,overcast clouds,04d,stations,298.38,299.41,298.38,298.38,1014.0,94.0,1014.0,1011.0,10000.0,2.57,270.0,,100.0,1727335125.0,1.0,1126.0,GH,1727329752.0,1727373287.0,0.0,2306104.0,Accra,200,,,,,,
38.7469,9.025,500.0,Rain,light rain,10d,stations,289.64,289.49,289.64,289.64,1016.0,82.0,1016.0,772.0,10000.0,3.09,200.0,0.66,75.0,1727335125.0,1.0,2453.0,ET,1727320425.0,1727363925.0,10800.0,344979.0,Addis Ababa,200,,,,,,
72.6167,23.0333,701.0,Mist,mist,50d,stations,302.17,307.73,302.17,302.17,1002.0,79.0,1002.0,997.0,3000.0,2.06,270.0,,100.0,1727335126.0,1.0,9049.0,IN,1727312368.0,1727355729.0,19800.0,1279233.0,Ahmedabad,200,,,,,,
37.5,36.25,800.0,Clear,clear sky,01d,stations,301.18,300.27,301.18,301.18,1012.0,30.0,1012.0,966.0,10000.0,1.9,296.0,,0.0,1727335126.0,,,SY,1727320868.0,1727364081.0,10800.0,170062.0,Aleppo Governorate,200,1.75,,,,,
29.9553,31.2156,800.0,Clear,clear sky,01d,stations,298.75,298.91,298.75,298.75,1014.0,59.0,1014.0,1014.0,10000.0,3.54,4.0,,0.0,1727335126.0,,,EG,1727322652.0,1727365917.0,10800.0,361058.0,Alexandria,200,3.56,,,,,
3.042,36.7525,800.0,Clear,clear sky,01d,stations,289.05,288.99,289.05,289.05,1015.0,88.0,1015.0,1009.0,10000.0,1.54,230.0,,0.0,1727335126.0,1.0,1060.0,DZ,1727329145.0,1727372339.0,3600.0,2507480.0,Algiers,200,,,,,,
76.95,43.25,520.0,Rain,light intensity shower rain,09d,stations,284.1,282.97,284.1,284.1,1016.0,66.0,1016.0,888.0,10000.0,4.0,240.0,0.12,100.0,1727335104.0,1.0,8818.0,KZ,1727311434.0,1727354583.0,18000.0,1526384.0,Almaty,200,,,,,,
35.945,31.9552,721.0,Haze,haze,50d,stations,301.2,300.28,298.9,301.2,1012.0,30.0,1012.0,922.0,4000.0,2.06,260.0,,0.0,1727335126.0,1.0,7520.0,JO,1727321218.0,1727364477.0,10800.0,250441.0,Amman,200,,,,,,
4.8897,52.374,802.0,Clouds,scattered clouds,03d,stations,288.76,288.7,288.07,289.82,987.0,89.0,987.0,987.0,10000.0,7.2,230.0,,40.0,1727335126.0,2.0,2012552.0,NL,1727328809.0,1727371788.0,7200.0,2759794.0,Amsterdam,200,,,,,,
-149.9003,61.2181,500.0,Rain,light rain,10n,stations,281.02,280.32,280.13,282.09,997.0,91.0,997.0,994.0,10000.0,1.54,340.0,0.48,100.0,1727334964.0,2.0,2008005.0,US,1727279563.0,1727322558.0,-28800.0,5879400.0,Anchorage,200,,,,,,
1.4941,42.5045,804.0,Clouds,overcast clouds,04d,stations,287.59,287.39,287.27,287.59,1010.0,88.0,1010.0,813.0,70.0,0.45,41.0,,100.0,1727335126.0,2.0,2037369.0,AD,1727329553.0,1727372674.0,7200.0,3041566.0,Andorra la Vella,200,4.02,,,,,
32.8543,39.9199,800.0,Clear,clear sky,01d,stations,292.79,292.01,291.66,292.81,1017.0,46.0,1017.0,898.0,10000.0,1.03,0.0,,0.0,1727335126.0,1.0,6948.0,TR,1727322005.0,1727365173.0,10800.0,323786.0,Ankara,200,,,,,,
47.5361,-18.9137,801.0,Clouds,few clouds,02d,stations,297.13,296.65,297.13,297.13,1020.0,41.0,1020.0,883.0,10000.0,3.6,120.0,,20.0,1727335126.0,1.0,2136.0,MG,1727318144.0,1727361989.0,10800.0,1070940.0,Antananarivo,200,,,,,,
-171.7667,-13.8333,500.0,Rain,light rain,10n,stations,298.66,299.38,298.66,299.1,1014.0,81.0,1014.0,1013.0,10000.0,7.03,113.0,0.37,100.0,1727335127.0,2.0,47733.0,WS,1727370786.0,1727414585.0,46800.0,4035413.0,Apia,200,6.92,,,,,
-1.1333,53.0,804.0,Clouds,overcast clouds,04d,stations,284.92,284.69,284.53,285.59,985.0,97.0,985.0,977.0,10000.0,1.19,197.0,,100.0,1727335127.0,2.0,2093695.0,GB,1727330262.0,1727373226.0,3600.0,2657030.0,Arnold,200,2.25,,,,,
58.3833,37.95,800.0,Clear,clear sky,01d,stations,297.07,296.72,297.07,297.07,1019.0,46.0,1019.0,974.0,8000.0,6.17,310.0,,0.0,1727335127.0,1.0,8992.0,TM,1727315863.0,1727359064.0,18000.0,162183.0,Ashgabat,200,,,,,,
